dateOfSleep,timestamp,heart_rate
2026-03-23,2026-03-23T21:45:00+00:00,64
2026-03-23,2026-03-23T21:50:00+00:00,60
2026-03-23,2026-03-23T21:55:00+00:00,64
2026-03-23,2026-03-23T22:00:00+00:00,60
2026-03-23,2026-03-23T22:05:00+00:00,65
2026-03-23,2026-03-23T22:10:00+00:00,62
2026-03-23,2026-03-23T22:15:00+00:00,62
2026-03-23,2026-03-23T22:20:00+00:00,60
2026-03-23,2026-03-23T22:25:00+00:00,65
2026-03-23,2026-03-23T22:30:00+00:00,61
2026-03-23,2026-03-23T22:35:00+00:00,60
2026-03-23,2026-03-23T22:40:00+00:00,60
2026-03-23,2026-03-23T22:45:00+00:00,63
2026-03-23,2026-03-23T22:50:00+00:00,62
2026-03-23,2026-03-23T22:55:00+00:00,62
2026-03-23,2026-03-23T23:00:00+00:00,62
2026-03-23,2026-03-23T23:05:00+00:00,67
2026-03-23,2026-03-23T23:10:00+00:00,59
2026-03-23,2026-03-23T23:15:00+00:00,59
2026-03-23,2026-03-23T23:20:00+00:00,58
2026-03-23,2026-03-23T23:25:00+00:00,62
2026-03-23,2026-03-23T23:30:00+00:00,63
2026-03-23,2026-03-23T23:35:00+00:00,59
2026-03-23,2026-03-23T23:40:00+00:00,57
2026-03-23,2026-03-23T23:45:00+00:00,57
2026-03-23,2026-03-23T23:50:00+00:00,61
2026-03-23,2026-03-23T23:55:00+00:00,61
2026-03-23,2026-03-24T00:00:00+00:00,61
2026-03-23,2026-03-24T00:05:00+00:00,57
2026-03-23,2026-03-24T00:10:00+00:00,59
2026-03-23,2026-03-24T00:15:00+00:00,59
2026-03-23,2026-03-24T00:20:00+00:00,59
2026-03-23,2026-03-24T00:25:00+00:00,61
2026-03-23,2026-03-24T00:30:00+00:00,59
2026-03-23,2026-03-24T00:35:00+00:00,60
2026-03-23,2026-03-24T00:40:00+00:00,58
2026-03-23,2026-03-24T00:45:00+00:00,58
2026-03-23,2026-03-24T00:50:00+00:00,59
2026-03-23,2026-03-24T00:55:00+00:00,53
2026-03-23,2026-03-24T01:00:00+00:00,56
2026-03-23,2026-03-24T01:05:00+00:00,56
2026-03-23,2026-03-24T01:10:00+00:00,55
2026-03-23,2026-03-24T01:15:00+00:00,56
2026-03-23,2026-03-24T01:20:00+00:00,61
2026-03-23,2026-03-24T01:25:00+00:00,54
2026-03-23,2026-03-24T01:30:00+00:00,59
2026-03-23,2026-03-24T01:35:00+00:00,51
2026-03-23,2026-03-24T01:40:00+00:00,55
2026-03-23,2026-03-24T01:45:00+00:00,56
2026-03-23,2026-03-24T01:50:00+00:00,57
2026-03-23,2026-03-24T01:55:00+00:00,58
2026-03-23,2026-03-24T02:00:00+00:00,58
2026-03-23,2026-03-24T02:05:00+00:00,54
2026-03-23,2026-03-24T02:10:00+00:00,54
2026-03-23,2026-03-24T02:15:00+00:00,57
2026-03-23,2026-03-24T02:20:00+00:00,54
2026-03-23,2026-03-24T02:25:00+00:00,51
2026-03-23,2026-03-24T02:30:00+00:00,51
2026-03-23,2026-03-24T02:35:00+00:00,52
2026-03-23,2026-03-24T02:40:00+00:00,56
2026-03-23,2026-03-24T02:45:00+00:00,54
2026-03-23,2026-03-24T02:50:00+00:00,56
2026-03-23,2026-03-24T02:55:00+00:00,53
2026-03-23,2026-03-24T03:00:00+00:00,54
2026-03-23,2026-03-24T03:05:00+00:00,56
2026-03-23,2026-03-24T03:10:00+00:00,53
2026-03-23,2026-03-24T03:15:00+00:00,55
2026-03-23,2026-03-24T03:20:00+00:00,52
2026-03-23,2026-03-24T03:25:00+00:00,53
2026-03-23,2026-03-24T03:30:00+00:00,53
2026-03-23,2026-03-24T03:35:00+00:00,50
2026-03-23,2026-03-24T03:40:00+00:00,55
2026-03-23,2026-03-24T03:45:00+00:00,53
2026-03-23,2026-03-24T03:50:00+00:00,54
2026-03-23,2026-03-24T03:55:00+00:00,55
2026-03-23,2026-03-24T04:00:00+00:00,55
2026-03-23,2026-03-24T04:05:00+00:00,56
2026-03-23,2026-03-24T04:10:00+00:00,54
2026-03-23,2026-03-24T04:15:00+00:00,53
2026-03-23,2026-03-24T04:20:00+00:00,54
2026-03-23,2026-03-24T04:25:00+00:00,49
2026-03-23,2026-03-24T04:30:00+00:00,50
2026-03-23,2026-03-24T04:35:00+00:00,50
2026-03-23,2026-03-24T04:40:00+00:00,51
2026-03-23,2026-03-24T04:45:00+00:00,55
2026-03-23,2026-03-24T04:50:00+00:00,51
2026-03-23,2026-03-24T04:55:00+00:00,53
2026-03-23,2026-03-24T05:00:00+00:00,58
2026-03-23,2026-03-24T05:05:00+00:00,53
2026-03-23,2026-03-24T05:10:00+00:00,56
2026-03-23,2026-03-24T05:15:00+00:00,51
2026-03-23,2026-03-24T05:20:00+00:00,53
2026-03-24,2026-03-24T21:20:00+00:00,66
2026-03-24,2026-03-24T21:25:00+00:00,64
2026-03-24,2026-03-24T21:30:00+00:00,67
2026-03-24,2026-03-24T21:35:00+00:00,59
2026-03-24,2026-03-24T21:40:00+00:00,60
2026-03-24,2026-03-24T21:45:00+00:00,59
2026-03-24,2026-03-24T21:50:00+00:00,61
2026-03-24,2026-03-24T21:55:00+00:00,58
2026-03-24,2026-03-24T22:00:00+00:00,64
2026-03-24,2026-03-24T22:05:00+00:00,61
2026-03-24,2026-03-24T22:10:00+00:00,57
2026-03-24,2026-03-24T22:15:00+00:00,58
2026-03-24,2026-03-24T22:20:00+00:00,62
2026-03-24,2026-03-24T22:25:00+00:00,64
2026-03-24,2026-03-24T22:30:00+00:00,67
2026-03-24,2026-03-24T22:35:00+00:00,69
2026-03-24,2026-03-24T22:40:00+00:00,62
2026-03-24,2026-03-24T22:45:00+00:00,57
2026-03-24,2026-03-24T22:50:00+00:00,54
